name,artists,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,year,song_label,PC1,PC2,cluster,cluster_name
Harry Paye (song unplugged),['The Dolmen'],0.542,0.757,-6.522,0.0343,0.703,0.0,0.921,0.898,125.699,2010,Harry Paye (song unplugged) - ['The Dolmen'],0.30042592,0.094449155,7,Live Performances
So Many Miles Away,['Curtis Macdonald'],0.634,0.402,-15.425999999999998,0.0447,0.8,0.856,0.0956,0.7090000000000001,142.577,2005,So Many Miles Away - ['Curtis Macdonald'],-0.3057721,0.275028,3,Instrumental Energy
Ach Vlaendere vrie,"['Thomas Fabri', 'Capilla Flamenca']",0.109,0.0254,-27.166,0.0468,0.913,0.804,0.0535,0.162,171.229,2000,"Ach Vlaendere vrie - ['Thomas Fabri', 'Capilla Flamenca']",-0.83339345,-0.2762279,6,Ambient / Classical
Frevo,['Victor Prieto'],0.53,0.504,-10.051,0.0535,0.524,0.0,0.102,0.701,117.591,2006,Frevo - ['Victor Prieto'],0.3216103,0.7001853,4,Acoustic Pop
Italia,"['Gabriel Yared', 'Harry Rabinowitz']",0.204,0.0945,-19.871,0.0333,0.747,0.772,0.109,0.0646,66.479,2002,"Italia - ['Gabriel Yared', 'Harry Rabinowitz']",-0.9324107,-0.19679937,6,Ambient / Classical
Clorinda,"['Robert Orlando Morgan', 'Richard Crooks', 'Frederick Schauwecker']",0.498,0.103,-14.863,0.06,0.989,4.34e-05,0.0873,0.6759999999999999,173.743,1997,"Clorinda - ['Robert Orlando Morgan', 'Richard Crooks', 'Frederick Schauwecker']",-0.33019048,0.4592709,4,Acoustic Pop
Come Up,['Yung PRH'],0.868,0.517,-13.159,0.146,0.632,7.46e-06,0.552,0.425,106.0,2019,Come Up - ['Yung PRH'],0.16788585,0.3624465,7,Live Performances
Christ's Nativity,"['Benjamin Britten', 'BBC Singers', 'Steuart Bedford']",0.231,0.158,-25.701,0.0557,0.993,0.0101,0.113,0.0595,122.539,2003,"Christ's Nativity - ['Benjamin Britten', 'BBC Singers', 'Steuart Bedford']",-0.8760671,-0.012759443,0,Calm Acoustic
1492,['Hip Hop Hoodíos'],0.675,0.893,-6.86,0.0361,0.0674,0.00747,0.0407,0.895,97.011,2013,1492 - ['Hip Hop Hoodíos'],0.7264706,0.33326918,2,Dance Pop
Don't Leave The Leaving Up To Me,['Justin Trevino'],0.384,0.426,-5.41,0.0281,0.892,0.0,0.208,0.501,100.224,2004,Don't Leave The Leaving Up To Me - ['Justin Trevino'],-0.21195431,0.33154488,0,Calm Acoustic
West Side Story (Original Broadway Cast): Act II: A Boy Like That - I Have a Love,"['Leonard Bernstein', 'Chita Rivera', 'Carol Lawrence', 'West Side Story Original Broadway Cast']",0.266,0.0993,-19.606,0.0386,0.8759999999999999,0.0,0.259,0.131,91.321,1957,"West Side Story (Original Broadway Cast): Act II: A Boy Like That - I Have a Love - ['Leonard Bernstein', 'Chita Rivera', 'Carol Lawrence', 'West Side Story Original Broadway Cast']",-0.58504003,0.13315219,0,Calm Acoustic
Fuck Her Tears,['Times New Viking'],0.2689999999999999,0.981,-4.083,0.13,0.0993,0.79,0.7440000000000001,0.379,170.135,2011,Fuck Her Tears - ['Times New Viking'],0.29140043,-0.69443655,7,Live Performances
Short Life of Trouble,['Ralph Stanley'],0.552,0.498,-10.947,0.0273,0.471,5.08e-06,0.3289999999999999,0.612,95.919,2012,Short Life of Trouble - ['Ralph Stanley'],0.24426599,0.49697655,7,Live Performances
Se - Love Theme Of Cinema Paradiso,['Giada Valenti'],0.288,0.0869,-18.989,0.0522,0.97,2.73e-06,0.0947,0.188,67.417,2008,Se - Love Theme Of Cinema Paradiso - ['Giada Valenti'],-0.8360209,0.21164097,0,Calm Acoustic
Your Grace,['The Peggy Lee Band'],0.272,0.2,-14.528,0.0463,0.8029999999999999,0.662,0.3929999999999999,0.0985,86.09,2012,Your Grace - ['The Peggy Lee Band'],-0.82260996,-0.3320982,6,Ambient / Classical
Garden Of Last Grace,['Fields Of Aplomb'],0.481,0.81,-9.697,0.0563,0.155,0.0737,0.072,0.353,95.01,2003,Garden Of Last Grace - ['Fields Of Aplomb'],0.41344005,-0.14228404,2,Dance Pop
Standing Still,['Codie Prevost'],0.526,0.758,-4.9319999999999995,0.0319,0.0694,7.85e-06,0.1369999999999999,0.259,110.068,2010,Standing Still - ['Codie Prevost'],0.59930456,-0.2867645,1,Energetic Electronic
Colors Are Made,['Sara Holtzschue'],0.3670000000000001,0.154,-15.763,0.0321,0.934,0.0137,0.111,0.0965,120.627,2007,Colors Are Made - ['Sara Holtzschue'],-0.82026035,0.07672394,0,Calm Acoustic
Can't Give Up On Love,['Jay Jesse Johnson'],0.5529999999999999,0.778,-5.271,0.0374,0.0069099999999999,0.4370000000000001,0.107,0.66,93.852,2006,Can't Give Up On Love - ['Jay Jesse Johnson'],0.6221719,-0.046154384,2,Dance Pop
The Other Side of Life,['Forbes Family'],0.602,0.129,-13.969,0.0338,0.602,0.0,0.284,0.357,100.268,2011,The Other Side of Life - ['Forbes Family'],-0.4423663,0.52418166,0,Calm Acoustic
Tick Tock,"['The Alchemist', 'Prodigy', 'Nas']",0.6609999999999999,0.631,-4.66,0.21,0.187,0.0,0.537,0.703,89.055,2004,"Tick Tock - ['The Alchemist', 'Prodigy', 'Nas']",0.54630905,0.234387,7,Live Performances
"Come, Ye Disconsolate",['Rob Gardner'],0.179,0.135,-16.215999999999998,0.0436,0.936,0.00113,0.0946,0.044,80.62,2005,"Come, Ye Disconsolate - ['Rob Gardner']",-0.82548654,-0.020918358,0,Calm Acoustic
Amapola,['Ike Moriz'],0.7170000000000001,0.357,-8.754,0.0261,0.643,2.7699999999999996e-05,0.109,0.48,99.981,2010,Amapola - ['Ike Moriz'],0.033362214,0.7644594,4,Acoustic Pop
Victor Carlye's,['John B. deHaas'],0.422,0.142,-23.921,0.043,0.995,0.951,0.125,0.306,98.699,2007,Victor Carlye's - ['John B. deHaas'],-0.9535672,0.028576069,6,Ambient / Classical
"Still life, Op. 45: No. 2. Storby, efterar (City, Autumn)","['Ib Nørholm', 'Else Torp', 'Per Palsson', 'Mathias Friis-Hansen']",0.357,0.11,-19.191,0.0553,0.956,0.0236,0.0748,0.0943,80.347,2012,"Still life, Op. 45: No. 2. Storby, efterar (City, Autumn) - ['Ib Nørholm', 'Else Torp', 'Per Palsson', 'Mathias Friis-Hansen']",-0.8492832,0.17298487,0,Calm Acoustic
Te Deum (Collegium Regale) (version for choir and orchestra),"['Herbert Howells', 'The Bach Choir', 'Bournemouth Symphony Orchestra', 'David Hill']",0.104,0.172,-17.889,0.0389,0.979,0.88,0.206,0.0772,87.054,2014,"Te Deum (Collegium Regale) (version for choir and orchestra) - ['Herbert Howells', 'The Bach Choir', 'Bournemouth Symphony Orchestra', 'David Hill']",-0.91558135,-0.36271137,6,Ambient / Classical
Can't Leave The Party,['The Escape Club'],0.6459999999999999,0.889,-4.462,0.0509,0.0308,0.0,0.175,0.8240000000000001,100.957,2012,Can't Leave The Party - ['The Escape Club'],0.84226453,0.22132868,2,Dance Pop
It Took A Long Time,['Yarn'],0.757,0.4029999999999999,-12.527,0.035,0.657,1.09e-05,0.198,0.466,117.899,2007,It Took A Long Time - ['Yarn'],0.027481575,0.7843338,4,Acoustic Pop
No End,['Softwhere'],0.711,0.879,-7.02,0.0417,0.000933,0.6920000000000001,0.617,0.959,104.987,2009,No End - ['Softwhere'],0.53849566,-0.005728406,7,Live Performances
Shadows,['The Old Ceremony'],0.408,0.265,-11.27,0.0352,0.914,0.00692,0.111,0.223,176.706,2005,Shadows - ['The Old Ceremony'],-0.38765174,-0.018275883,0,Calm Acoustic
Man on the Moon - Live,['Sugar'],0.291,0.953,-5.178999999999999,0.0732,0.000227,0.7140000000000001,0.778,0.38,83.00200000000002,1992,Man on the Moon - Live - ['Sugar'],0.17754416,-0.48349243,7,Live Performances
Another Day,['Xentrix'],0.643,0.93,-11.198,0.0527,0.0003399999999999,0.113,0.105,0.341,106.128,1992,Another Day - ['Xentrix'],0.4844204,-0.03976275,2,Dance Pop
Bamboo,"['Peter, Paul and Mary']",0.457,0.161,-23.204,0.0346,0.738,0.00558,0.109,0.5710000000000001,134.592,1962,"Bamboo - ['Peter, Paul and Mary']",-0.41366726,0.36125785,4,Acoustic Pop
Revolution - RUN DMT Remix,"['Diplo', 'kai', 'Faustix & Imanos', 'Run DMT']",0.419,0.8109999999999999,-3.543,0.0612,0.0052899999999999,0.00179,0.118,0.118,147.757,2014,"Revolution - RUN DMT Remix - ['Diplo', 'kai', 'Faustix & Imanos', 'Run DMT']",0.4923959,-0.5913964,1,Energetic Electronic
Video Kid,['Rodriguez'],0.4370000000000001,0.7440000000000001,-8.256,0.0452,0.482,1.12e-05,0.4370000000000001,0.256,122.446,1998,Video Kid - ['Rodriguez'],0.19721813,-0.28147256,7,Live Performances
"Romanian Rhapsody No. 1 in A Major, Op. 11 (Live)","['George Enescu', 'Angèle Dubeau', 'La Pietà']",0.326,0.2339999999999999,-16.682000000000002,0.0455,0.866,0.0806,0.0705,0.316,78.748,2018,"Romanian Rhapsody No. 1 in A Major, Op. 11 (Live) - ['George Enescu', 'Angèle Dubeau', 'La Pietà']",-0.723081,0.19130918,0,Calm Acoustic
Soldier,['Phil Driscoll'],0.59,0.376,-16.257,0.0341,0.4370000000000001,5.04e-05,0.113,0.369,73.209,1994,Soldier - ['Phil Driscoll'],-0.31167728,0.512428,0,Calm Acoustic
Funky,['The Chambers Brothers'],0.593,0.4589999999999999,-15.238,0.042,0.223,0.138,0.135,0.911,100.976,1970,Funky - ['The Chambers Brothers'],0.07143049,0.46380013,4,Acoustic Pop
It's What's Really Happening,['Wendy & Bonnie'],0.61,0.674,-7.909,0.0337,0.371,0.00409,0.332,0.853,131.805,2008,It's What's Really Happening - ['Wendy & Bonnie'],0.6839263,0.3767181,2,Dance Pop
The Mail Carrier,['Sing n Play'],0.5429999999999999,0.282,-12.038,0.0329,0.8,0.0,0.217,0.593,102.523,2013,The Mail Carrier - ['Sing n Play'],-0.2902569,0.7343785,0,Calm Acoustic
"Gesang der Geister uber den Wassern, Op. 167, D. 714","['Franz Schubert', 'The Monteverdi Choir', 'Orchestre Révolutionnaire et Romantique', 'John Eliot Gardiner']",0.149,0.0774,-22.051,0.0415,0.952,0.0692,0.105,0.0396,76.314,2009,"Gesang der Geister uber den Wassern, Op. 167, D. 714 - ['Franz Schubert', 'The Monteverdi Choir', 'Orchestre Révolutionnaire et Romantique', 'John Eliot Gardiner']",-0.89009273,-0.028106662,0,Calm Acoustic
Patience,['Vanessa Carlton'],0.441,0.2739999999999999,-14.973,0.0354,0.978,0.908,0.16,0.384,124.132,2020,Patience - ['Vanessa Carlton'],-0.71980584,-0.114974976,6,Ambient / Classical
Dragonaut,['Judas Priest'],0.385,0.943,-5.7010000000000005,0.0933,0.0056799999999999,0.111,0.282,0.381,85.009,2015,Dragonaut - ['Judas Priest'],0.54401207,-0.42928904,1,Energetic Electronic
Fusion of Elements,"['Paulo J. Mendes', 'Alina Lesnik', 'Marco Paulzen']",0.307,0.604,-5.553999999999999,0.0371,0.00866,0.1169999999999999,0.218,0.125,90.927,2016,"Fusion of Elements - ['Paulo J. Mendes', 'Alina Lesnik', 'Marco Paulzen']",0.14431094,-0.59243107,5,Dark Electronic Instrumental
All My Bitches,['Da Brat'],0.7879999999999999,0.794,-5.8870000000000005,0.324,0.0469,0.0,0.2739999999999999,0.644,162.024,2000,All My Bitches - ['Da Brat'],0.6850381,0.1132478,2,Dance Pop
Why We Swing,['Sentridoh/Lou Barlow'],0.8140000000000001,0.319,-12.862,0.8320000000000001,0.675,0.0,0.389,0.795,58.75100000000001,2003,Why We Swing - ['Sentridoh/Lou Barlow'],0.05045704,0.34693372,7,Live Performances
Holy Words,['Bescenta Feat. Warrior King'],0.617,0.7809999999999999,-5.135,0.123,0.484,0.0,0.362,0.823,131.65,2006,Holy Words - ['Bescenta Feat. Warrior King'],0.71818984,0.3127849,2,Dance Pop
Maywayday,"['GRG67', 'Roger Manins', 'Michael Howell', 'Mostyn Cole', 'Tristan Deck']",0.4970000000000001,0.534,-14.22,0.0487,0.0796,0.823,0.0738,0.517,103.921,2020,"Maywayday - ['GRG67', 'Roger Manins', 'Michael Howell', 'Mostyn Cole', 'Tristan Deck']",-0.030599594,-0.30636477,3,Instrumental Energy
Rhinestones,['James Ferraro'],0.449,0.3939999999999999,-11.208,0.0382,0.494,0.000783,0.108,0.157,120.465,2015,Rhinestones - ['James Ferraro'],-0.30447724,-0.1483644,0,Calm Acoustic
Hot Lava Dub,['King Tubby'],0.8059999999999999,0.7829999999999999,-5.107,0.0706,0.337,0.693,0.0636,0.735,136.803,2006,Hot Lava Dub - ['King Tubby'],0.5280357,0.17166395,3,Instrumental Energy
Don’t Stop,"['Seagram', 'Spice 1']",0.789,0.461,-9.19,0.115,0.00202,0.0,0.0643,0.7959999999999999,88.384,1997,"Don’t Stop - ['Seagram', 'Spice 1']",0.4679856,0.6118966,2,Dance Pop
Courante,['Andrew York'],0.366,0.294,-21.544,0.05,0.978,0.894,0.109,0.963,93.788,1998,Courante - ['Andrew York'],-0.565264,0.31773436,6,Ambient / Classical
Creeper,['The Soul Rebellion Orchestra'],0.7020000000000001,0.894,-4.694,0.0718,0.698,0.912,0.1119999999999999,0.89,120.573,2007,Creeper - ['The Soul Rebellion Orchestra'],0.32829207,0.16653392,3,Instrumental Energy
YOU,['Morgan Saint'],0.385,0.413,-11.058,0.0696,0.841,0.000968,0.128,0.153,143.225,2017,YOU - ['Morgan Saint'],-0.40189803,-0.16122697,0,Calm Acoustic
Gold Coast,"['Oatmello', 'ØDYSSEE']",0.7440000000000001,0.625,-7.6560000000000015,0.0495,0.299,0.7709999999999999,0.0638,0.123,94.221,2019,"Gold Coast - ['Oatmello', 'ØDYSSEE']",0.024111886,-0.20280975,5,Dark Electronic Instrumental
Great Is Thy Faithfulness,['Bradley Joseph'],0.483,0.0674,-19.734,0.0492,0.993,0.915,0.184,0.1369999999999999,77.877,2007,Great Is Thy Faithfulness - ['Bradley Joseph'],-0.94188476,0.033353426,6,Ambient / Classical
Partita (version for violin and orchestra): II. Ad libitum,"['Witold Lutosławski', 'Fujiko Imajishi', 'New Music Concerts']",0.24,0.106,-27.697,0.0534,0.877,0.0739,0.0895,0.0975,86.264,2010,"Partita (version for violin and orchestra): II. Ad libitum - ['Witold Lutosławski', 'Fujiko Imajishi', 'New Music Concerts']",-0.8902527,0.04491219,0,Calm Acoustic
The Reason,"['Elzhi', 'Phat Kat']",0.799,0.805,-7.152,0.284,0.156,0.0,0.3429999999999999,0.7509999999999999,92.986,2019,"The Reason - ['Elzhi', 'Phat Kat']",0.6493964,0.28889495,2,Dance Pop
Cheese Factory,"['The High & Mighty', 'Copywrite']",0.405,0.908,-4.217,0.3829999999999999,0.103,0.0,0.585,0.619,85.46,2003,"Cheese Factory - ['The High & Mighty', 'Copywrite']",0.4445925,-0.12534261,7,Live Performances
Good Morning Country Rain,['Rhonda Vincent'],0.6579999999999999,0.483,-11.863,0.0315,0.595,2.08e-05,0.319,0.747,124.366,2005,Good Morning Country Rain - ['Rhonda Vincent'],0.29693663,0.7131374,4,Acoustic Pop
Bury Me (Bonus Track),['Saosin'],0.223,0.951,-5.877999999999999,0.102,0.000509,5.99e-05,0.255,0.179,91.623,2009,Bury Me (Bonus Track) - ['Saosin'],0.32300738,-0.60810155,1,Energetic Electronic
The Time Warp,"['Reeve Carney', 'Christina Milian', 'Tim Curry', 'Annaleigh Ashford']",0.5820000000000001,0.812,-4.963,0.0756,0.231,0.0001139999999999,0.184,0.5329999999999999,88.89,2016,"The Time Warp - ['Reeve Carney', 'Christina Milian', 'Tim Curry', 'Annaleigh Ashford']",0.6919864,0.10475311,2,Dance Pop
Space Jazz Acid Labs,['Astrobear'],0.516,0.8140000000000001,-8.878,0.1009999999999999,0.0009029999999999,0.294,0.897,0.54,168.02700000000004,2012,Space Jazz Acid Labs - ['Astrobear'],0.40102094,-0.35057217,7,Live Performances
Silent Night,['Celtic Christmas'],0.241,0.0709,-20.546999999999997,0.0418,0.986,0.537,0.0964,0.1369999999999999,69.762,2006,Silent Night - ['Celtic Christmas'],-0.98070306,-0.010645114,6,Ambient / Classical
Sophie,['Dario Germani Trio'],0.408,0.0807,-17.54,0.0438,0.957,0.8,0.103,0.158,103.911,2013,Sophie - ['Dario Germani Trio'],-0.9634382,-0.07313588,6,Ambient / Classical
21 House,['Xlarve'],0.606,0.8220000000000001,-5.9979999999999976,0.0311,8.740000000000001e-05,0.899,0.341,0.667,139.999,2015,21 House - ['Xlarve'],0.52730894,-0.37705922,3,Instrumental Energy
Mercy (Supplication),['Nels Cline'],0.654,0.00301,-28.094,0.102,0.958,0.85,0.108,0.233,111.982,2010,Mercy (Supplication) - ['Nels Cline'],-0.8387127,0.20154795,6,Ambient / Classical
Kiev to Karrada,['London Klezmer Quartet'],0.5489999999999999,0.129,-11.0,0.0574,0.923,0.6890000000000001,0.114,0.728,125.174,2013,Kiev to Karrada - ['London Klezmer Quartet'],-0.4471756,0.40065247,3,Instrumental Energy
Mini Mosaico Romántico: Obsesión / Nosotros / Y,['Marimba Maderas Chapinas'],0.7659999999999999,0.58,-8.087,0.0441,0.252,0.7859999999999999,0.0751,0.727,103.019,2016,Mini Mosaico Romántico: Obsesión / Nosotros / Y - ['Marimba Maderas Chapinas'],0.3118313,0.21121682,3,Instrumental Energy
Route 60,['David Shenton'],0.268,0.124,-22.827,0.035,0.988,0.917,0.115,0.23,64.975,2007,Route 60 - ['David Shenton'],-0.9519408,-0.051835258,6,Ambient / Classical
Rainbow Country,['Rocker-T'],0.755,0.6609999999999999,-7.961,0.0843,0.0236,0.0,0.0811,0.965,167.945,2005,Rainbow Country - ['Rocker-T'],0.70091605,0.32718503,2,Dance Pop
This Noise Is Making Me Blind,['Joaquín Díaz'],0.503,0.743,-7.574,0.0346,0.0003259999999999,0.174,0.486,0.3429999999999999,128.025,2019,This Noise Is Making Me Blind - ['Joaquín Díaz'],0.53003484,-0.4868964,7,Live Performances
Coming Clean,['Green Day'],0.3379999999999999,0.992,-4.907,0.073,0.000138,0.0002279999999999,0.214,0.6809999999999999,171.55200000000005,1994,Coming Clean - ['Green Day'],0.6326006,-0.2955854,1,Energetic Electronic
Crackin Me Up,['The Forgotten Rebels'],0.4,0.918,-4.873,0.0883,0.000172,0.00724,0.597,0.3929999999999999,125.165,2000,Crackin Me Up - ['The Forgotten Rebels'],0.5344072,-0.4105531,7,Live Performances
Make Me Call My Deacons,"['Pastor Troy', 'Paul Wall', 'Bun B', 'K.B', 'KYM CARR']",0.722,0.929,-12.603,0.6,0.8,0.0119,0.181,0.3929999999999999,158.686,2015,"Make Me Call My Deacons - ['Pastor Troy', 'Paul Wall', 'Bun B', 'K.B', 'KYM CARR']",0.2073762,0.06325647,7,Live Performances
"Sonata in B minor, BWV 1014 for violin and harpsichord: Allegro","['Johann Sebastian Bach', 'Viktoria Mullova', 'Ottavio Dantone']",0.627,0.3339999999999999,-17.323,0.0408,0.8490000000000001,0.000229,0.0654,0.867,114.756,2007,"Sonata in B minor, BWV 1014 for violin and harpsichord: Allegro - ['Johann Sebastian Bach', 'Viktoria Mullova', 'Ottavio Dantone']",-0.16373636,0.86080545,4,Acoustic Pop
Das Konzert,"['Mauricio Kagel', 'Michael Faust', 'Sinfonia Finlandia Jyvaskyla', 'Patrick Gallois']",0.272,0.127,-23.106,0.0449,0.96,0.731,0.153,0.0391,108.876,2012,"Das Konzert - ['Mauricio Kagel', 'Michael Faust', 'Sinfonia Finlandia Jyvaskyla', 'Patrick Gallois']",-1.0006232,-0.23130591,6,Ambient / Classical
"Symphony No. 2 in D Major, Op. 35: III. Scherzo. Vivace","['Louise Farrenc', 'Solistes Européens, Luxembourg', 'Christoph Konig']",0.26,0.0536,-22.482,0.0418,0.958,0.605,0.1119999999999999,0.182,83.295,2018,"Symphony No. 2 in D Major, Op. 35: III. Scherzo. Vivace - ['Louise Farrenc', 'Solistes Européens, Luxembourg', 'Christoph Konig']",-0.95916456,-0.059626207,6,Ambient / Classical
I Still Love You - Single Version,['SEVEN SOULS'],0.483,0.693,-8.328,0.0479,0.158,0.0002839999999999,0.6709999999999999,0.882,128.58100000000002,2007,I Still Love You - Single Version - ['SEVEN SOULS'],0.50379676,0.019178424,7,Live Performances
Distant Star,"['Kentaro Sato', 'Budapest Symphony Orchestra']",0.14,0.0594,-23.775,0.0387,0.944,0.8440000000000001,0.11,0.0324,69.188,2019,"Distant Star - ['Kentaro Sato', 'Budapest Symphony Orchestra']",-0.9328393,-0.22790353,6,Ambient / Classical
Not Stoppin,['Wild Dogs'],0.341,0.72,-9.415,0.0572,5.85e-05,0.0,0.16,0.3329999999999999,133.995,2005,Not Stoppin - ['Wild Dogs'],0.4526972,-0.5518249,1,Energetic Electronic
That's Her Now,['The Rhyhmic Eight'],0.65,0.374,-9.722,0.0922,0.99,0.775,0.1009999999999999,0.963,207.537,2009,That's Her Now - ['The Rhyhmic Eight'],0.005002361,0.20144707,3,Instrumental Energy
Can't Hold Us,['Madilyn Bailey'],0.774,0.472,-8.274,0.2019999999999999,0.294,0.0,0.0361,0.602,147.166,2013,Can't Hold Us - ['Madilyn Bailey'],0.50272804,0.40912175,2,Dance Pop
Barnum and Bailey's Favorite,['US Army Band'],0.445,0.4589999999999999,-12.733,0.0425,0.918,0.0662,0.451,0.637,145.062,2012,Barnum and Bailey's Favorite - ['US Army Band'],-0.11173718,0.19782132,7,Live Performances
Meet Me At the Bottom,['The Stumble'],0.64,0.644,-9.343,0.0347,0.00642,0.182,0.0313,0.92,123.974,2008,Meet Me At the Bottom - ['The Stumble'],0.6459379,0.33766747,2,Dance Pop
Further Along,['The Slaughtermen'],0.39,0.259,-11.252,0.0279999999999999,0.5760000000000001,0.0,0.238,0.4,86.249,2007,Further Along - ['The Slaughtermen'],-0.4675789,0.28115803,0,Calm Acoustic
Andy Breckman tells us how he really feels,['Andy Breckman'],0.598,0.45,-15.91,0.871,0.807,2.62e-06,0.478,0.314,107.701,1996,Andy Breckman tells us how he really feels - ['Andy Breckman'],-0.06072973,0.09812652,7,Live Performances
Where the Pines Once Stood,['Lawrence Blatt'],0.215,0.203,-18.504,0.0593,0.939,0.8340000000000001,0.1119999999999999,0.3829999999999999,198.826,2014,Where the Pines Once Stood - ['Lawrence Blatt'],-0.56242937,-0.3193599,6,Ambient / Classical
"4 Pieces fugitives, Op. 15: No. 4. Scherzo in G Major","['Clara Schumann', 'Jozef De Beenhouwer']",0.436,0.053,-30.272,0.0435,0.995,0.9,0.113,0.491,65.92,2001,"4 Pieces fugitives, Op. 15: No. 4. Scherzo in G Major - ['Clara Schumann', 'Jozef De Beenhouwer']",-0.8680411,0.24122356,6,Ambient / Classical
The Thing That Should Not Be,"[""Pickin' On Series"", 'Iron Horse']",0.6990000000000001,0.759,-6.319,0.0281,0.106,0.00501,0.145,0.645,124.141,2006,"The Thing That Should Not Be - [""Pickin' On Series"", 'Iron Horse']",0.8410402,0.26857674,2,Dance Pop
Home,"['Tino Panama', 'Panamanianz']",0.67,0.552,-5.9879999999999995,0.0595,0.087,0.000198,0.186,0.413,138.013,2009,"Home - ['Tino Panama', 'Panamanianz']",0.7254362,0.057594948,2,Dance Pop
Bulma's Car / 20 Escapes,['Bruce Faulconer'],0.255,0.613,-2.6289999999999996,0.034,0.00634,0.888,0.344,0.278,116.896,2005,Bulma's Car / 20 Escapes - ['Bruce Faulconer'],0.06942806,-0.8069738,5,Dark Electronic Instrumental
Lorna Boy (w/ Dave Van Ronk),['Tandy'],0.606,0.614,-8.998,0.0301,0.0627,0.00036,0.12,0.563,134.253,2002,Lorna Boy (w/ Dave Van Ronk) - ['Tandy'],0.70245737,0.17778271,2,Dance Pop
Victorious Cab Ride / Feeling Like a Hundred Bucks,['Ben Seretan'],0.11,0.0816,-23.458,0.0467,0.8959999999999999,0.898,0.0938,0.0307,71.768,2019,Victorious Cab Ride / Feeling Like a Hundred Bucks - ['Ben Seretan'],-0.918133,-0.2777351,6,Ambient / Classical
Time - Live,['Attack in Black'],0.218,0.966,-6.29,0.0867,0.00405,0.000986,0.987,0.421,143.441,2018,Time - Live - ['Attack in Black'],0.33251143,-0.4770471,7,Live Performances
Midsummer Daydream,['Beachwood Sparks'],0.221,0.978,-5.154,0.12,0.237,0.54,0.168,0.128,129.287,2013,Midsummer Daydream - ['Beachwood Sparks'],0.17348608,-0.8881395,5,Dark Electronic Instrumental
Light Bulb,['Comanchero'],0.6890000000000001,0.8540000000000001,-7.02,0.0306,0.0697,0.0199,0.216,0.904,120.008,2007,Light Bulb - ['Comanchero'],0.8327183,0.308905,2,Dance Pop
Big Black Cloud,['Abrahma'],0.276,0.846,-6.513,0.0427,0.0005099999999999,0.0029,0.0876,0.407,125.131,2012,Big Black Cloud - ['Abrahma'],0.4988779,-0.5166322,1,Energetic Electronic
Ice Ice Baby (Club Crasher Mix),['Vanilla Ice'],0.789,0.8759999999999999,-4.996,0.0564,0.00785,0.165,0.0637,0.763,123.951,2008,Ice Ice Baby (Club Crasher Mix) - ['Vanilla Ice'],0.8217371,0.24098857,2,Dance Pop
For Us - Chopnotslop Remix,"['dvsn', 'DJ Candlestick', 'OG Ron C']",0.62,0.309,-13.175,0.0417,0.184,0.00627,0.407,0.357,110.018,2020,"For Us - Chopnotslop Remix - ['dvsn', 'DJ Candlestick', 'OG Ron C']",0.101616204,0.0882409,7,Live Performances
Living a Lie,['James Maddock'],0.495,0.7979999999999999,-7.624,0.0279,0.0512,0.0396,0.0961,0.759,100.459,2011,Living a Lie - ['James Maddock'],0.6981846,0.12112865,2,Dance Pop
Dixit Dominus: Dominus a dextris tuis,"['Domenico Sarro', 'Anja Zugner', 'Maria Perlt', 'Annekathrin Laabs', 'Andreas Post', 'Wolf Matthias Friedrich', 'Saxon Vocal Ensemble', 'Batzdorfer Hofkapelle', 'Matthias Jung']",0.503,0.0678,-24.557,0.0356,0.873,0.0076,0.0813,0.647,105.57,2012,"Dixit Dominus: Dominus a dextris tuis - ['Domenico Sarro', 'Anja Zugner', 'Maria Perlt', 'Annekathrin Laabs', 'Andreas Post', 'Wolf Matthias Friedrich', 'Saxon Vocal Ensemble', 'Batzdorfer Hofkapelle', 'Matthias Jung']",-0.6215679,0.60764027,0,Calm Acoustic
Sea Sons,['Ebonivory'],0.267,0.3339999999999999,-14.401,0.0319,0.789,0.953,0.104,0.106,61.99800000000001,2020,Sea Sons - ['Ebonivory'],-0.73338866,-0.31396943,6,Ambient / Classical
Blood Red And Goin' Down,['Tanya Tucker'],0.644,0.516,-10.87,0.03,0.188,0.0,0.145,0.6809999999999999,107.532,1972,Blood Red And Goin' Down - ['Tanya Tucker'],0.18873991,0.41087484,4,Acoustic Pop
Oh,"['Kate Nash', 'Siobhan Malhotra']",0.472,0.389,-12.362,0.0369,0.11,0.531,0.31,0.235,100.831,2013,"Oh - ['Kate Nash', 'Siobhan Malhotra']",-0.21780404,-0.5324133,5,Dark Electronic Instrumental
Oboe Trio in C Major: III. Menuetto - Trio I - Trio II,"['Anton Wranitzky', 'John Abberger', 'Marc Schachman', 'Lani Spahr']",0.446,0.0532,-20.169,0.0378,0.991,0.965,0.154,0.12,80.73,2004,"Oboe Trio in C Major: III. Menuetto - Trio I - Trio II - ['Anton Wranitzky', 'John Abberger', 'Marc Schachman', 'Lani Spahr']",-0.9615258,-0.005861963,6,Ambient / Classical
